vars,a,b,c,d,h,K,m,sigmaX,NPV_a,NPV_b,PreyDeficit,PredatorDeficit
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.03803355297850253,0.2689814558998567,0.4239143595136471,0.1134831867308146,0.733047021170264,3943.763156540725,0.10834980949742168,0.002657893684136243,1955.450105244196,557.377265353845,0.9595117341753087,0.8414757459396371
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.03645933734987369,0.6616501763284349,0.42977720849960854,0.12351533700737648,0.5637737885552581,2936.2188206475075,1.4077603356305302,0.008191207870267947,1407.6650048806366,181.56016037260076,0.01879490583988048,0.7672175360105087
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.002596368614634575,0.2660727668580912,0.9760955746411679,0.1923588886645956,0.5906711116191825,3102.33880413375,1.4134833906479973,0.007881717454360662,1492.152812846327,154.34357425658015,0.03309136362524846,0.9352689773769788
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.02351050670244751,0.3542279524366561,0.8366201382859388,0.05504979215751557,0.10617532068509802,2073.4639454734115,1.142563804080767,0.006420963287984373,2267.0359779752616,403.59692404345805,0.21043258283050972,0.6652776374756466
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.0051251533286602044,0.5475925868223288,0.7315725644778142,0.16713994663157725,0.6736244127870861,2765.0682591894347,1.3833882977690508,0.0063228570238716185,1329.073965417227,162.72686165281885,0.017439058197157607,0.9167400915562012
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.024605039756906658,0.3077978171606637,0.7068109166144505,0.12050803749807414,0.359598752537262,1868.7322669205814,1.4976204934429185,0.00372706177094857,897.430037676903,178.73083922477676,0.03633272881400371,0.8348786618543729
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.020441422265132334,0.13923701892309873,0.7504107558165221,0.09525162457077488,0.8676583170978458,1966.056825896859,0.7852020707679365,0.005698121803087264,1519.4795393286508,505.9316546423467,0.5685677822062176,0.525858506409705
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.027675312230511548,0.8272714709328073,0.32575100137895807,0.059272058043196865,0.3617903324069575,2205.1523167446144,0.6086121041685645,0.003855209439167108,3972.165827909046,1059.5244057747577,0.27499942762338075,0.5168426797030817
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.005102072048144191,0.9500916143014553,0.7475238813029879,0.1023886602528486,0.6123652899911843,3879.851900302973,1.4004485800127484,0.00834252828615957,1866.927364384891,184.06534056546116,0.009191854920749828,0.8605666010811476
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.008824750738258757,0.5553863641715895,0.39938445025970504,0.17340979810461093,0.2833922745947322,3293.7743693291154,0.5842277880781678,0.003425054024564358,4510.2598057017785,674.3255452649464,0.23348605054390292,0.5938083413369813
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.025977544397548638,0.9125902350310595,0.27584676933382046,0.092071592712956,0.6610202481543944,2825.3265083421275,1.2615573459102953,0.0062373452551985195,1350.172877934915,191.79517865682612,0.015485251615013356,0.7763031332915458
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.04340691339701098,0.4598222872962474,0.9543552314664636,0.17435353650373855,0.869069146995018,2225.356213052707,1.1336702319609733,0.0018361141766410401,2621.2454385284836,411.2870433283691,0.18371486319132072,0.6715871332681909
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.005985889587282394,0.8597498669904672,0.6026865520772693,0.14322645689021313,0.6006405746986387,1278.6944832921497,0.2867049178922879,0.008016983051605572,1964.4276765520074,988.5301350839732,0.2508298993983325,0.5115134928926656
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.04732813735572867,0.3758738313675116,0.43917936642947863,0.19722823627651592,0.21752103455687033,3359.303655959592,0.2789719472083206,0.0021331084197469792,577.0042136247753,1219.1542183727845,0.9844733048433431,0.9220485993032064
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.006811820590825329,0.08367513171532118,0.4572758928650267,0.1480119199046652,0.44711566200992536,3728.9299678786947,0.7661236373655174,0.0025246275809260913,2158.3342712747685,256.35813591580734,0.40608600797875677,0.70256332072967
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.049686807492891616,0.4355539479338087,0.28589388303479457,0.09902482696420487,0.6152712537888516,2985.564014398329,1.450115509808614,0.008167254007530997,1428.6172354408338,187.81988127214606,0.03156361966856672,0.7865838676673579
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.029184378372956836,0.2199901502548902,0.3037339472698898,0.08657271864554404,0.6963481741419917,2557.1313734279333,0.5753158329327016,0.0011954032675424403,1869.524127385894,522.818578792507,0.5943488611070001,0.5951081629855819
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.020212313998773525,0.5193695755636991,0.37230322313911146,0.1377806219066402,0.8178085224412779,3344.6347789686797,0.7824950384566572,0.005312581273275978,3126.6773135868916,382.31017485977776,0.1324577846287245,0.6959383789466501
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.03696141941821818,0.48421513576254266,0.9232328318820917,0.12466365886590465,0.8161222143575175,1736.8064394216362,0.4453319386867859,0.007244914951215722,620.752619277701,605.1545029994451,0.9673325128700293,0.76816713901866
